Date,Team,Acquired,Relinquished,Notes
2025-07-14,Chargers,,• Del'Shawn Phillips,placed on physically unable to perform list
2025-07-14,Chargers,,• Elijah Molden,placed on physically unable to perform list
2025-07-14,Chargers,,• Jaylen Johnson (b),placed on physically unable to perform list
2025-07-14,Chargers,,• Mike Williams (K.),placed on physically unable to perform list
2025-07-14,Chargers,,• Savion Washington,placed on physically unable to perform list
2025-07-15,Bills,,• Landon Jackson,placed on active/physically unable to perform list
2025-07-15,Chargers,,• Ryan Nelson,placed on physically unable to perform list
2025-07-16,49ers,,• Kurtis Rourke,placed on active/non-football injury list
2025-07-16,Lions,,• Frank Ragnow,placed on reserve/retired list
2025-07-16,Ravens,,• Emery Jones Jr.,placed on active/non-football injury list
2025-07-16,Seahawks,,• D'Eryk Jackson,placed on non-football injury list
2025-07-16,Seahawks,,• Isas Waxter,placed on non-football injury list
2025-07-16,Seahawks,,• Montorie Foster Jr.,placed on non-football injury list
2025-07-16,Seahawks,,• Rylie Mills,placed on active/non-football injury list
2025-07-16,Seahawks,,• Tyrone Broden,placed on non-football injury list
2025-07-16,Seahawks,,• Zy Alexander,placed on active/non-football injury list
2025-07-16,Browns,,• Elerson Smith,placed on reserve/retired list
2025-07-17,Chiefs,,• Rashee Rice,pleaded guilty to two third-degree felony charges of collision involving serious bodily injury and racing on a highway causing bodily injury; sentenced to 30 days in jail and 5 years probation
2025-07-17,Lions,,• Alim McNeill,placed on active/physically unable to perform list recovering from torn ACL in knee
2025-07-17,Lions,,• Joshua Paschal / Josh Paschal,placed on non-football injury list
2025-07-17,Lions,,• Khalil Dorsey,placed on physically unable to perform list
2025-07-17,Lions,,• Levi Onwuzurike,placed on physically unable to perform list recovering from surgery on knee to repair ACL
2025-07-17,Lions,,• Malcolm Rodriguez,placed on physically unable to perform list
2025-07-17,Lions,,• Mekhi Wingo,placed on physically unable to perform list
2025-07-17,Lions,,• Miles Frazier,placed on physically unable to perform list
2025-07-17,Lions,,• Stantley Thomas-Oliver,placed on non-football injury list
2025-07-17,Lions,,• Taylor Decker,placed on physically unable to perform list
2025-07-17,Ravens,,• Ar'Darius Washington,placed on active/physically unable to perform list
2025-07-17,Vikings,,• Jordan Addison,"pleaded no contest to reckless driving with the involvement of alcohol; placed on probation for 12 months, fined $390, and required to complete two online courses"
2025-07-18,49ers,,• Andre Dillard,placed on physically unable to perform list
2025-07-18,49ers,,• Ben Bartch,placed on non-football injury list
2025-07-18,49ers,,• Brandon Aiyuk,placed on physically unable to perform list
2025-07-18,49ers,,• Curtis Robinson,placed on physically unable to perform list
2025-07-18,49ers,,• George Odum,placed on non-football injury list
2025-07-18,49ers,,• Malik Mustapha,placed on physically unable to perform list
2025-07-18,49ers,,• Ricky Pearsall,placed on active/physically unable to perform list
2025-07-18,49ers,,• Yetur Gross-Matos,placed on physically unable to perform list
2025-07-18,Chargers,,• Najee Harris (b),placed on non-football injury list with eye injury
2025-07-18,Packers,,• Alex Hale,placed on non-football injury list
2025-07-18,Packers,,• Amar Johnson (a),placed on non-football injury list
2025-07-18,Packers,,• Christian Watson,placed on active/physically unable to perform list recovering from surgery on right knee to repair torn ACL
2025-07-18,Packers,,• Collin Oliver,placed on active/physically unable to perform list
2025-07-18,Packers,,• Elgton Jenkins,placed on non-football injury list
2025-07-18,Packers,,• John Williams (a),placed on physically unable to perform list
2025-07-18,Packers,,• Micah Robinson,placed on physically unable to perform list
2025-07-18,Packers,,• Quay Walker,placed on active/physically unable to perform list
2025-07-18,Raiders,,• Christian Wilkins,placed on physically unable to perform list
2025-07-18,Seahawks,,• Uchenna Nwosu,placed on physically unable to perform list
2025-07-19,Bears,,• Case Keenum,placed on active/non-football injury list
2025-07-19,Bears,,• Ian Wheeler,placed on active/non-football injury list
2025-07-19,Bears,,• Jahdae Walker,placed on active/non-football injury list
2025-07-19,Bears,,• Jaylon Johnson,placed on active/non-football injury list
2025-07-19,Bengals,,• Erick All (a),placed on active/physically unable to perform list
2025-07-19,Bengals,,• Seth McLaughlin,placed on active/non-football injury list
2025-07-19,Commanders,,• Timothy McKay / Tim McKay,placed on active/non-football injury list
2025-07-19,Jaguars,,• Dennis Gardeck,placed on active/physically unable to perform list
2025-07-19,Jets,,• Aaron Smith (c),placed on active/non-football injury list
2025-07-19,Jets,,• Irvin Charles,placed on active/physically unable to perform list
2025-07-19,Jets,,• Jermaine Johnson II,placed on active/physically unable to perform list
2025-07-19,Patriots,,• Austin Hooper,placed on active/physically unable to perform list
2025-07-19,Patriots,,• Carlton Davis,placed on active/non-football injury list
2025-07-19,Patriots,,• Jahlani Tavai,placed on active/physically unable to perform list
2025-07-19,Patriots,,• Jeremiah Webb,placed on active/non-football injury list
2025-07-19,Patriots,,• Josh Minkins (b),placed on active/non-football injury list
2025-07-19,Patriots,,• Mack Hollins,placed on active/physically unable to perform list
2025-07-19,Patriots,,• Vederian Lowe,placed on active/physically unable to perform list
2025-07-20,Bears,• Case Keenum,,activated from non-football injury list
2025-07-20,Broncos,,• A.T. Perry,placed on physically unable to perform list
2025-07-20,Chargers,• Elijah Molden,,activated from physically unable to perform list
2025-07-20,Chargers,• Jaylen Johnson (b),,activated from physically unable to perform list
2025-07-21,Chiefs,,• Jawaan Taylor,placed on physically unable to perform list
2025-07-21,Chiefs,,• Kristian Fulton,placed on physically unable to perform list
2025-07-21,Chiefs,,• Tre Watson (a),placed on physically unable to perform list
2025-07-21,Panthers,,• Dan Chisena,placed on physically unable to perform list
2025-07-21,Panthers,,• Sam Martin,placed on non-football injury list
2025-07-21,Panthers,,• Tommy Tremble,placed on physically unable to perform list
2025-07-21,Vikings,,• Chaz Chambliss,placed on active/physically unable to perform list
2025-07-21,Vikings,,• Gavin Bartholomew,placed on active/physically unable to perform list
2025-07-22,Bears,• Ian Wheeler,,activated from active/non-football injury list
2025-07-22,Bears,• Jahdae Walker,,activated from active/non-football injury list
2025-07-22,Bengals,,• Zack Moss,placed on active/non-football injury list
2025-07-22,Bills,,• Dawson Knox,placed on active/non-football injury list
2025-07-22,Bills,,• Sedrick Van Pran-Granger,placed on active/physically unable to perform list
2025-07-22,Bills,,• Spencer Brown (b. 1998-02-28),placed on active/physically unable to perform list
2025-07-22,Bills,• Landon Jackson,,activated from non-football injury list
2025-07-22,Buccaneers,,• Anthony Walker Jr.,placed on active/non-football injury list
2025-07-22,Buccaneers,,• Chris Godwin,placed on active/physically unable to perform list
2025-07-22,Buccaneers,,• Desmond Watson,placed on active/non-football illness list
2025-07-22,Buccaneers,,• Iosua Opeta / Sua Opeta,placed on active/physically unable to perform list
2025-07-22,Buccaneers,,• Michael Pratt,placed on active/physically unable to perform list
2025-07-22,Buccaneers,,• Silas Dzansi,placed on active/physically unable to perform list
2025-07-22,Buccaneers,,• Tristan Wirfs,placed on active/physically unable to perform list
2025-07-22,Cowboys,,• DeMarvion Overshown,placed on active/physically unable to perform list
2025-07-22,Cowboys,,• Josh Butler,placed on active/physically unable to perform list
2025-07-22,Cowboys,,• Shavon Revel Jr.,placed on active/non-football injury list
2025-07-22,Cowboys,,• Trevon Diggs,placed on active/physically unable to perform list
2025-07-22,Dolphins,,• Darren Waller,placed on active/physically unable to perform list
2025-07-22,Dolphins,,• Ifeatu Melifonwu,placed on active/non-football injury list
2025-07-22,Dolphins,,• Liam Eichenberg,placed on active/physically unable to perform list
2025-07-22,Dolphins,• Mark Glowinski,,activated from non-football injury list
2025-07-22,Giants,,• Andrew Thomas,placed on active/physically unable to perform list
2025-07-22,Giants,,• Eric Gray,placed on active/physically unable to perform list
2025-07-22,Giants,,• Victor Dimukeje,placed on active/non-football injury list
2025-07-22,Giants,• Victor Dimukeje,,activated from non-football injury list
2025-07-22,Jaguars,,• Maason Smith,placed on active/physically unable to perform list
2025-07-22,Panthers,,• Bobby Brown III,placed on active/non-football injury list
2025-07-22,Raiders,• Quinton Jefferson,,activated from non-football injury list
2025-07-22,Saints,,• Foster Moreau,placed on active/physically unable to perform list
2025-07-22,Saints,,• Taysom Hill,placed on active/physically unable to perform list
2025-07-22,Titans,,• L'Jarius Sneed,placed on active/physically unable to perform list
2025-07-22,Titans,,• Lloyd Cushenberry III,placed on physically unable to perform list
2025-07-22,Titans,,• Lorenzo Carter,placed on reserve/retired list
2025-07-23,Bills,,• Laviska Shenault Jr.,placed on active/non-football injury list
2025-07-23,Browns,,• David Bell,placed on active/non-football injury list
2025-07-23,Browns,,• Deshaun Watson,placed on active/physically unable to perform list
2025-07-23,Browns,,• Michael Hall Jr. / Mike Hall Jr.,placed on active/physically unable to perform list
2025-07-23,Cardinals,,• B.J. Ojulari,placed on active/physically unable to perform list
2025-07-23,Cardinals,,• Bilal Nichols,placed on active/physically unable to perform list
2025-07-23,Cardinals,,• Walter Nolen,placed on active/physically unable to perform list
2025-07-23,Chargers,,• Savion Washington,placed on reserve/physically unable to perform list
2025-07-23,Commanders,,• Samuel Cosmi / Sam Cosmi,placed on active/physically unable to perform list
2025-07-23,Eagles,,• Nakobe Dean,placed on active/physically unable to perform list
2025-07-23,Giants,,• Anthony Johnson Jr.,placed on reserve/physically unable to perform list
2025-07-23,Jets,• Aaron Smith (c),,activated from active/non-football injury list
2025-07-23,Packers,• Micah Robinson,,activated from non-football injury list
2025-07-23,Packers,• Quay Walker,,activated from active/physically unable to perform list
2025-07-23,Patriots,• Carlton Davis,,activated from active/non-football injury list
2025-07-23,Patriots,• Jahlani Tavai,,activated from active/non-football injury list
2025-07-23,Patriots,• Jeremiah Webb,,activated from active/non-football injury list
2025-07-23,Rams,,• Mark Redman,placed on active/physically unable to perform list
2025-07-23,Rams,,• Tru Edwards,placed on active/physically unable to perform list
2025-07-23,Ravens,,• Jacob Hummel / Jake Hummel,placed on active/non-football injury list
2025-07-23,Seahawks,,• Johnathan Hankins,placed on active/non-football injury list
2025-07-23,Texans,,• Alijah Huzzie,placed on active/non-football injury list
2025-07-23,Texans,,• Dameon Pierce,placed on active/physically unable to perform list
2025-07-23,Texans,,• Denico Autry,placed on active/physically unable to perform list
2025-07-23,Texans,,• Derek Barnett,placed on active/physically unable to perform list
2025-07-23,Texans,,• Eli Cox,placed on active/physically unable to perform list
2025-07-23,Texans,,• Folorunso Fatukasi / Foley Fatukasi,placed on active/physically unable to perform list
2025-07-23,Texans,,• J.J. Taylor,placed on active/physically unable to perform list
2025-07-23,Texans,,• Jimmie Ward,placed on active/physically unable to perform list
2025-07-23,Texans,,• Joe Mixon,placed on active/non-football injury list
2025-07-23,Texans,,• K.C. Ossai,placed on active/physically unable to perform list
2025-07-23,Texans,,• Kurt Hinish,placed on active/physically unable to perform list
2025-07-23,Texans,,• Nathaniel Dell / Tank Dell,placed on active/physically unable to perform list
2025-07-23,Texans,,• Trent Brown,placed on active/physically unable to perform list
2025-07-23,Titans,,• Will Levis,placed on IR with surgery on right shoulder to repair AC joint (out for season)
2025-07-24,Dolphins,,• Artie Burns,placed on IR with torn ACL in knee
2025-07-24,Eagles,,• Marcus Tate,placed on IR with undisclosed
2025-07-24,Falcons,,• Cobee Bryant,placed on active/non-football illness list
2025-07-24,Falcons,,• LaCale London,placed on active/non-football injury list
2025-07-24,Falcons,,• Malik Verdon,placed on active/non-football injury list
2025-07-24,Falcons,,• Troy Andersen,placed on active/physically unable to perform list
2025-07-24,Lions,• Stantley Thomas-Oliver,,activated from non-football injury list
2025-07-24,Steelers,,• Isaac Seumalo,placed on non-football injury list
2025-07-25,Buccaneers,,• Silas Dzansi,placed on active/physically unable to perform list
2025-07-26,Panthers,,• M.J. Devonshire,placed on IR with hamstring injury
2025-07-26,Texans,• Eli Cox,,activated from active/physically unable to perform list
2025-07-26,Texans,• J.J. Taylor,,activated from active/physically unable to perform list
2025-07-26,Texans,• K.C. Ossai,,activated from active/physically unable to perform list
2025-07-26,Titans,,• Treylon Burks,fractured collarbone (out indefinitely)
2025-07-27,49ers,• Ricky Pearsall,,activated from active/physically unable to perform list
2025-07-27,Bills,• Dawson Knox,,activated from active/non-football injury list
2025-07-27,Bills,• Laviska Shenault Jr.,,activated from active/non-football injury list
2025-07-27,Cardinals,,• Jaden Davis,placed on IR with knee injury
2025-07-27,Cardinals,,• Starling Thomas V,placed on IR with torn ACL in knee
2025-07-27,Chiefs,• Jawaan Taylor,,activated from physically unable to perform list
2025-07-27,Chiefs,• Tre Watson (a),,activated from physically unable to perform list
2025-07-27,Packers,• Amar Johnson (a),,activated from non-football injury list
2025-07-27,Commanders,,• Terry McLaurin,placed on active/physically unable to perform list
2025-07-28,Colts,,• Jack Wilson (d),placed on IR with pectoral injury
2025-07-28,Commanders,,• Fentrell Cypress II,placed on IR with undisclosed injury
2025-07-28,Giants,,• Bryce Ford-Wheaton,placed on IR with torn Achilles tendon
2025-07-28,Packers,• Elgton Jenkins,,activated from non-football injury list
2025-07-28,Panthers,• Bobby Brown III,,activated from active/non-football injury list
2025-07-28,Panthers,• Sam Martin,,activated from non-football injury list
2025-07-28,Patriots,• Josh Minkins (b),,activated from active/non-football injury list
2025-07-28,Ravens,• Jacob Hummel / Jake Hummel,,activated from active/non-football injury list
2025-07-28,Seahawks,,• Kenny McIntosh,placed on IR with torn ACL in knee
2025-07-28,Vikings,• Chaz Chambliss,,activated from active/physically unable to perform list
2025-07-29,49ers,,• Tarron Jackson,placed on IR with neck injury
2025-07-29,Falcons,• Cobee Bryant,,activated from active/non-football illness list
2025-07-29,Falcons,• LaCale London,,activated from active/non-football injury list
2025-07-29,Giants,,• Victor Dimukeje,placed on physically unable to perform list
2025-07-29,Patriots,,• Brock Lampe,placed on IR with undisclosed injury
2025-07-29,Patriots,• Austin Hooper,,activated from active/physically unable to perform list
2025-07-29,Titans,,• Treylon Burks,placed on IR with fractured clavicle
2025-07-29,Titans,,• Will Levis,surgery on right shoulder to repair AC joint (out for season) (date approximate)
2025-07-30,Bengals,• Seth McLaughlin,,activated from active/non-football injury list
2025-07-30,Browns,,• Martin Emerson,placed on IR with surgery on Achilles
2025-07-30,Dolphins,,• Kader Kohou,placed on IR with knee injury
2025-07-30,Dolphins,,• Obinna Eze,placed on IR with undisclosed injury
2025-07-30,Eagles,,• Danny Gray,placed on IR with finger injury
2025-07-30,Jets,,• Gus Hartwig,placed on IR with undisclosed injury
2025-07-30,Steelers,,• Jeremiah Moon,placed on IR with calf injury
2025-07-30,Steelers,,• Montana Lemonious-Craig,placed on IR with lower body injury
2025-07-31,49ers,• Ben Bartch,,activated from non-football injury list
2025-07-31,Broncos,,• Johnny Walker Jr.,placed on IR with lower body injury
2025-07-31,Browns,,• Michael Woods II / Mike Woods,placed on IR with hand injury
2025-07-31,Colts,,• David Long Jr. (b. 1998-02-06),placed on IR with groin injury
2025-07-31,Commanders,• Timothy McKay / Tim McKay,,activated from active/non-football injury list
2025-07-31,Jaguars,• Dennis Gardeck,,activated from active/physically unable to perform list
2025-07-31,Patriots,,• Yasir Durant,placed on IR with undisclosed injury
2025-07-31,Patriots,• Mack Hollins,,activated from active/physically unable to perform list
2025-07-31,Steelers,• Isaac Seumalo,,activated from non-football injury list
2025-07-31,Texans,,• Kyonte Hamilton,surgery on ankle to repair fracture (out indefinitely)
2025-08-01,49ers,• Curtis Robinson,,activated from physically unable to perform list
2025-08-01,Bills,,• Hayden Harris,placed on IR with hamstring injury
2025-08-01,Bills,• Spencer Brown (b. 1998-02-28),,activated from active/physically unable to perform list
2025-08-01,Buccaneers,,• D.J. Williams (b. 1999-11-15),placed on IR with undisclosed injury
2025-08-01,Buccaneers,,• Marcus Banks,placed on IR with undisclosed injury
2025-08-01,Vikings,,• Alexander Williams / Alex Williams,placed on IR with undisclosed injury
2025-08-01,Texans,,• Kyonte Hamilton,placed on IR with surgery on ankle to repair fracture
2025-08-02,Buccaneers,,• David Walker (b),placed on IR with torn ACL in knee
2025-08-02,Cardinals,,• Quez Watkins,placed on IR with undisclosed injury
2025-08-02,Chiefs,,• Darius Rush,placed on IR with hamstring injury
2025-08-02,Chiefs,,• Eric Scott Jr.,placed on IR with hamstring injury
2025-08-02,Commanders,,• Tyree Jackson,placed on IR with undisclosed injury
2025-08-02,Cowboys,,• Parris Campbell,placed on IR with knee injury
2025-08-02,Rams,• Mark Redman,,activated from active/physically unable to perform list
2025-08-02,Saints,,• Nick Saldiveri,placed on IR with knee injury
2025-08-02,Steelers,,• Dean Lowry,placed on IR with knee injury
2025-08-02,Steelers,,• Jacob Slade,placed on IR with undisclosed injury
2025-08-03,Cardinals,,• Valentin Senn,placed on IR
2025-08-03,Cowboys,,• Matt Waletzko,placed on IR with shoulder injury
2025-08-03,Dolphins,• Ifeatu Melifonwu,,activated from active/non-football injury list
2025-08-03,Jets,,• Jaylin Simpson,placed on IR with hamstring injury
2025-08-03,Lions,• Taylor Decker,,activated from physically unable to perform list
2025-08-05,Buccaneers,• Iosua Opeta / Sua Opeta,,activated from active/physically unable to perform list
2025-08-05,Chargers,,• Josh Fuga,placed on IR
2025-08-05,Dolphins,,• Jalin Conyers,placed on IR
2025-08-05,Giants,,• Rushawn Baker,placed on IR
2025-08-05,Giants,,• Ty Summers,placed on IR
2025-08-05,Lions,,• Dan Jackson (a),placed on IR
2025-08-05,Lions,,• Kye Robichaux,placed on IR
2025-08-05,Patriots,,• Jaquelin Roy,placed on IR
2025-08-05,Patriots,,• Marcellas Dial,placed on IR
2025-08-05,Patriots,• Vederian Lowe,,activated from active/physically unable to perform list
2025-08-05,Seahawks,,• A.J. Finley,placed on IR
2025-08-05,Texans,• Dameon Pierce,,activated from active/physically unable to perform list
2025-08-05,Vikings,,• Jordan Addison,suspended by NFL for 3 games for violating the league's substance abuse policy
2025-08-06,,,• Tracy Walker III / Trey Walker,suspended by NFL for 12 games
2025-08-06,Browns,,• Anthony Kendall,placed on IR with undisclosed injury
2025-08-06,Packers,,• Samuel Brown / Sam Brown Jr.,placed on IR with ankle injury
2025-08-06,Packers,,• Travis Glover,placed on IR with shoulder injury
2025-08-07,Bears,,• Jordan Murray (b. 2000-04-20),placed on IR with groin injury
2025-08-07,Bills,,• Baylon Spector,placed on IR with calf injury
2025-08-07,Chargers,,• Rashawn Slater,torn patellar tendon in knee (out for season)
2025-08-07,Chiefs,• Kristian Fulton,,activated from physically unable to perform list
2025-08-07,Colts,,• Anthony Richardson,dislocated right pinky finger (DTD)
2025-08-07,Lions,,• Ennis Rakestraw Jr.,placed on IR with shoulder injury
2025-08-07,Texans,,• Johnny Johnson III,placed on IR with arm injury
2025-08-07,Titans,,• Chandler Brewer,placed on IR with calf injury
2025-08-07,Cardinals,,• Will Hernandez,placed on physically unable to perform list
2025-08-08,49ers,,• Equanimeous St. Brown,placed on IR with foot injury
2025-08-08,Chargers,,• Jordan Petaia,placed on IR with undisclosed injury
2025-08-08,Cowboys,,• Dakoda Shepley,placed on IR with ankle injury
2025-08-08,Cowboys,,• Robert Jones (e),placed on IR with neck injury
2025-08-09,Chargers,,• Rashawn Slater,placed on IR with torn patellar tendon in knee
2025-08-09,Colts,,• Justin Walley,placed on IR with torn ACL in knee
2025-08-09,Colts,,• Salvon Ahmed,placed on IR with ankle injury
2025-08-09,Jaguars,,• Levi Wallace,placed on IR with undisclosed
2025-08-09,Ravens,,• Bilhal Kone,placed on IR with torn ligament in knee
2025-08-10,Colts,,• Liam Anderson (b. 2000-04-30),placed on IR with hamstring injury
2025-08-10,Dolphins,,• Alexander Mattison,surgery on neck (out for season)
2025-08-10,Falcons,,• Grayland Arnold,placed on IR with undisclosed injury
2025-08-10,Jets,• Jermaine Johnson II,,activated from active/physically unable to perform list
2025-08-10,Lions,,• Colby Sorsdal,placed on IR
2025-08-10,Lions,,• Justin Herron,placed on IR
2025-08-10,Lions,,• Kenny Yeboah,placed on IR with undisclosed injury
2025-08-10,Patriots,,• Lan Larison,placed on IR with foot injury
2025-08-10,Rams,• Tru Edwards,,activated from active/physically unable to perform list
2025-08-10,Ravens,,• Robert Longerbeam,placed on IR with knee injury
2025-08-11,49ers,,• Ameer Abdullah,placed on IR with rib injury
2025-08-11,49ers,• Andre Dillard,,activated from physically unable to perform list
2025-08-11,Broncos,,• Matt Henningsen,placed on IR with Achilles injury
2025-08-11,Chiefs,,• Deon Bush,placed on IR with torn Achilles tendon
2025-08-11,Chiefs,,• Janarius Robinson,placed on IR with fractured foot
2025-08-11,Commanders,,• Kevon Seymour,placed on IR with undisclosed injury
2025-08-11,Commanders,,• Lucas Niang,placed on IR with knee injury
2025-08-11,Dolphins,,• Alexander Mattison,placed on IR recovering from surgery on neck
2025-08-11,Raiders,,• Seth Williams (b. 2000-04-10),placed on IR with undisclosed injury
2025-08-11,Saints,,• Chris Tyree,placed on IR with undisclosed injury
2025-08-11,Texans,,• Marlon Davidson,placed on IR with biceps injury
2025-08-11,Texans,• Derek Barnett,,activated from active/physically unable to perform list
2025-08-11,Texans,• Folorunso Fatukasi / Foley Fatukasi,,activated from active/physically unable to perform list
2025-08-11,Titans,• Lloyd Cushenberry III,,activated from physically unable to perform list
2025-08-11,Vikings,,• Matt Nelson,placed on IR with biceps injury
2025-08-12,Bears,,• Ameer Speed,placed on IR with undisclosed injury
2025-08-12,Bears,,• Shaun Wade,placed on IR with undisclosed injury
2025-08-12,Broncos,• A.T. Perry,,activated from physically unable to perform list
2025-08-12,Browns,,• Luke Floriea,placed on IR with hamstring injury
2025-08-12,Cardinals,,• Trishton Jackson,placed on IR with thumb injury
2025-08-12,Commanders,,• Viliami Fehoko Jr.,placed on IR with undisclosed
2025-08-12,Rams,,• Anthony Torres,placed on IR with ankle injury
2025-08-12,Saints,,• Will Clapp,placed on IR with foot injury
2025-08-12,Steelers,,• Cameron McCutcheon,placed on IR with hamstring injury
2025-08-12,Texans,,• Brevin Jordan,placed on IR with knee injury
2025-08-12,Vikings,,• Rondale Moore,placed on IR with knee injury
2025-08-13,49ers,,• Bradlee Anae,placed on IR with undisclosed injury
2025-08-13,Bears,,• Major Burns,placed on IR with knee injury
2025-08-13,Buccaneers,,• Michael Pratt,placed on IR with back injury
2025-08-13,Buccaneers,,• Michael Pratt,placed on physically unable to perform list
2025-08-13,Colts,,• D.J. Montgomery,placed on IR with undisclosed injury
2025-08-13,Jaguars,,• Zech McPhearson,placed on IR with undisclosed injury
2025-08-13,Packers,,• Isaiah Dunn,placed on IR with undisclosed injury
2025-08-13,Packers,,• Jalen White,placed on IR with foot injury
2025-08-13,Patriots,,• Deneric Prince,placed on IR with undisclosed injury
2025-08-13,Saints,,• Bub Means,placed on IR with ankle injury
2025-08-13,Saints,,• Mason Pline,placed on IR with upper body injury
2025-08-13,Texans,,• Dalton Keene (b. 1999-04-14),placed on IR with undisclosed injury
2025-08-13,Titans,,• Anfernee Orji,placed on IR with torn ACL in knee
2025-08-13,Vikings,,• Zeke Correll,placed on IR with ankle injury
2025-08-14,49ers,,• Andre Dillard,placed on IR with ankle injury
2025-08-14,Bills,,• Justin Hollins,placed on IR
2025-08-14,Dolphins,,• Germain Ifedi,placed on IR with triceps injury
2025-08-14,Jaguars,• Maason Smith,,activated from active/physically unable to perform list
2025-08-14,Lions,,• Dicaprio Bootle,placed on IR with lower leg injury
2025-08-14,Lions,,• Keaton Sutherland,placed on IR with knee injury
2025-08-15,Bills,,• Jalen Virgil,placed on IR with hamstring injury
2025-08-15,Chargers,,• Dez Fitzpatrick,placed on IR with undisclosed injury
2025-08-15,Chargers,,• Jordan Oladokun,placed on non-football illness list
2025-08-15,Falcons,,• Tyrone Wheatley Jr.,placed on IR with undisclosed injury
2025-08-16,Broncos,,• Gregory Junior,placed on IR with hamstring injury
2025-08-16,Commanders,• Terry McLaurin,,activated from active/physically unable to perform list
2025-08-16,Ravens,,• Adisa Isaac,elbow injury (DTD)
2025-08-17,Broncos,,• Nick Gargiulo,placed on IR with knee injury
2025-08-17,Seahawks,• Uchenna Nwosu,,activated from physically unable to perform list
2025-08-18,Buccaneers,,• J.J. Roberts,placed on IR with knee injury
2025-08-18,Chargers,• Del'Shawn Phillips,,activated from physically unable to perform list
2025-08-18,Chiefs,,• Felix Anudike-Uzomah,placed on IR with strained hamstring
2025-08-18,Colts,,• Blake Freeland,placed on IR with fractured leg
2025-08-18,Colts,,• Hunter Wohler,placed on IR with foot injury
2025-08-18,Colts,,• Jacob Phillips,placed on IR with biceps injury
2025-08-18,Dolphins,,• Yodny Cajuste,placed on IR with undisclosed injury
2025-08-18,Jets,,• Kris Boyd,placed on IR with shoulder injury
2025-08-18,Lions,• Khalil Dorsey,,activated from physically unable to perform list
2025-08-18,Panthers,,• Tyler Mabry,placed on IR with hamstring injury
2025-08-18,Ravens,,• Adisa Isaac,surgery on elbow to repair dislocation on ligament damage (out indefinitely) (date approximate)
2025-08-19,49ers,,• Patrick Taylor,placed on IR with shoulder injury
2025-08-19,Bills,,• Darrynton Evans,placed on IR with hamstring injury
2025-08-19,Cowboys,,• Bruce Harmon,placed on IR with knee injury
2025-08-19,Falcons,,• Emory Jones,placed on IR with concussion
2025-08-19,Giants,• Andrew Thomas,,activated from active/physically unable to perform list
2025-08-19,Lions,• Mekhi Wingo,,activated from physically unable to perform list
2025-08-19,Packers,,• Keith Randolph Jr.,placed on IR
2025-08-19,Patriots,,• Isaiah Iton,placed on IR with hip injury
2025-08-19,Rams,,• Keir Thomas,placed on IR with undisclosed injury
2025-08-19,Steelers,,• Devin Harper,placed on IR with undisclosed injury
2025-08-20,49ers,,• Demarcus Robinson,suspended by NFL for 3 games for violating the league's substance abuse policy
2025-08-20,Bears,,• Deion Hankins,placed on IR with shoulder injury
2025-08-20,Bills,,• Kaden Prather,placed on IR with hamstring injury
2025-08-20,Bills,,• Te'cory Couch,placed on IR with hamstring injury
2025-08-20,Dolphins,• Darren Waller,,activated from active/physically unable to perform list
2025-08-20,Rams,,• Mario Williams (b),placed on IR with undisclosed injury
2025-08-20,Steelers,,• Gareth Warren,placed on IR with concussion
2025-08-20,Texans,,• Xavier Johnson,placed on IR with fractured hand
2025-08-20,Titans,• L'Jarius Sneed,,activated from active/physically unable to perform list
2025-08-21,49ers,,• Corey Kiner,placed on IR with high ankle sprain
2025-08-21,Bills,,• Jarveon Howard,placed on IR with undisclosed injury
2025-08-21,Browns,,• Nathaniel Watson,placed on IR with biceps injury
2025-08-21,Commanders,,• Julian Good-Jones,placed on IR with undisclosed injury
2025-08-21,Jaguars,,• Joshua Cephus,placed on IR with undisclosed injury
2025-08-21,Panthers,• Tommy Tremble,,activated from physically unable to perform list
2025-08-22,49ers,,• Tre Brown,placed on IR with heel injury
2025-08-22,Eagles,,• Johnny Wilson,placed on IR with knee injury
2025-08-22,Jets,,• Rashad Weaver,placed on IR with undisclosed injury
2025-08-22,Jets,,• Ryan Cooper Jr. / Bump Cooper Jr.,placed on IR with undisclosed injury
2025-08-23,Rams,,• Tanner Ingle,"fined $4,666 by NFL for impermissible hit to the head of opposing player"
2025-08-23,Ravens,,• Dayton Wade,rib injury (out indefinitely)
2025-08-24,Bears,,• Terell Smith,placed on IR with torn patellar tendon in knee
2025-08-24,Cowboys,• Trevon Diggs,,activated from active/physically unable to perform list
2025-08-24,Giants,,• T.J. Moore,placed on IR with leg injury
2025-08-25,49ers,,• Isaiah Prince,placed on IR with knee injury
2025-08-25,Bears,,• Zah Frazier,placed on reserve/non-football injury list
2025-08-25,Texans,,• Joe Mixon,placed on reserve/non-football injury list
2025-08-26,49ers,,• Brandon Aiyuk,placed on reserve/physically unable to perform list with knee injury
2025-08-26,49ers,,• Jakob Robinson,placed on IR with forearm injury
2025-08-26,49ers,,• Kevin Givens,placed on IR with pectoral injury
2025-08-26,49ers,,• Kurtis Rourke,placed on reserve/non-football injury list with knee injury
2025-08-26,49ers,,• Malik Mustapha,placed on reserve/physically unable to perform list with knee injury
2025-08-26,49ers,• Yetur Gross-Matos,,activated from physically unable to perform list
